2022-10-13 18:11:51 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u7
2022-10-13 18:11:51 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u7
2022-10-13 18:11:51 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u7
2022-10-13 18:11:51 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u7
2022-10-13 18:11:51 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u7
2022-10-13 18:11:51 install libnpth0:amd64 <none> 1.6-1
2022-10-13 18:11:51 status half-installed libnpth0:amd64 1.6-1
2022-10-13 18:11:51 status unpacked libnpth0:amd64 1.6-1
2022-10-13 18:11:51 install dirmngr:amd64 <none> 2.2.12-1+deb10u2
2022-10-13 18:11:51 status half-installed dirmngr:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:51 status unpacked dirmngr:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:51 install libfakeroot:amd64 <none> 1.23-1
2022-10-13 18:11:51 status half-installed libfakeroot:amd64 1.23-1
2022-10-13 18:11:51 status unpacked libfakeroot:amd64 1.23-1
2022-10-13 18:11:51 install fakeroot:amd64 <none> 1.23-1
2022-10-13 18:11:51 status half-installed fakeroot:amd64 1.23-1
2022-10-13 18:11:51 status unpacked fakeroot:amd64 1.23-1
2022-10-13 18:11:51 install libgeoip1:amd64 <none> 1.6.12-1
2022-10-13 18:11:51 status half-installed libgeoip1:amd64 1.6.12-1
2022-10-13 18:11:51 status unpacked libgeoip1:amd64 1.6.12-1
2022-10-13 18:11:51 install geoip-bin:amd64 <none> 1.6.12-1
2022-10-13 18:11:51 status half-installed geoip-bin:amd64 1.6.12-1
2022-10-13 18:11:51 status unpacked geoip-bin:amd64 1.6.12-1
2022-10-13 18:11:51 install geoip-database:all <none> 20181108-1
2022-10-13 18:11:51 status half-installed geoip-database:all 20181108-1
2022-10-13 18:11:51 status unpacked geoip-database:all 20181108-1
2022-10-13 18:11:51 install gnupg-l10n:all <none> 2.2.12-1+deb10u2
2022-10-13 18:11:51 status half-installed gnupg-l10n:all 2.2.12-1+deb10u2
2022-10-13 18:11:51 status unpacked gnupg-l10n:all 2.2.12-1+deb10u2
2022-10-13 18:11:51 install gnupg-utils:amd64 <none> 2.2.12-1+deb10u2
2022-10-13 18:11:51 status half-installed gnupg-utils:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:52 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:52 install gpg:amd64 <none> 2.2.12-1+deb10u2
2022-10-13 18:11:52 status half-installed gpg:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:52 status unpacked gpg:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:52 install pinentry-curses:amd64 <none> 1.1.0-2
2022-10-13 18:11:52 status half-installed pinentry-curses:amd64 1.1.0-2
2022-10-13 18:11:52 status unpacked pinentry-curses:amd64 1.1.0-2
2022-10-13 18:11:52 install gpg-agent:amd64 <none> 2.2.12-1+deb10u2
2022-10-13 18:11:52 status half-installed gpg-agent:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:52 status unpacked gpg-agent:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:52 install gpg-wks-client:amd64 <none> 2.2.12-1+deb10u2
2022-10-13 18:11:52 status half-installed gpg-wks-client:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:52 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:52 install gpg-wks-server:amd64 <none> 2.2.12-1+deb10u2
2022-10-13 18:11:52 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:52 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:52 install gpgsm:amd64 <none> 2.2.12-1+deb10u2
2022-10-13 18:11:52 status half-installed gpgsm:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:52 status unpacked gpgsm:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:52 install gnupg:all <none> 2.2.12-1+deb10u2
2022-10-13 18:11:52 status half-installed gnupg:all 2.2.12-1+deb10u2
2022-10-13 18:11:52 status unpacked gnupg:all 2.2.12-1+deb10u2
2022-10-13 18:11:52 install libalgorithm-diff-perl:all <none> 1.19.03-2
2022-10-13 18:11:52 status half-installed libalgorithm-diff-perl:all 1.19.03-2
2022-10-13 18:11:52 status unpacked libalgorithm-diff-perl:all 1.19.03-2
2022-10-13 18:11:52 install libalgorithm-diff-xs-perl:amd64 <none> 0.04-5+b1
2022-10-13 18:11:52 status half-installed libalgorithm-diff-xs-perl:amd64 0.04-5+b1
2022-10-13 18:11:52 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-5+b1
2022-10-13 18:11:52 install libalgorithm-merge-perl:all <none> 0.08-3
2022-10-13 18:11:52 status half-installed libalgorithm-merge-perl:all 0.08-3
2022-10-13 18:11:52 status unpacked libalgorithm-merge-perl:all 0.08-3
